speed
2.524
3.413
2.254
2.386
3.026
3.383
2.959
2.822
3.31
4.927
4.244
2.591
2.266
2.322
2.253
2.488
2.654
2.285
4.197
8.591
7.526
2.964
2.538
2.914
3.381
4.242
2.869
3.337
2.304
2.213
2.672
3.173
2.716
2.894
8.361
2.358
2.956
3.763
3.41
7.041
6.012
2.269
2.274
5.973
4.0
3.423
